labID,experiment_number,q1est1,q1conf1,q1est2,q1conf2,q2est1,q2conf1,q2est2,q2conf2,q3est1,q3conf1,q3est2,q3conf2,q4est1,q4conf1,q4est2,q4conf2,q5est1,q5conf1,q5est2,q5conf2,q6est1,q6conf1,q6est2,q6conf2,q7est1,q7conf1,q7est2,q7conf2,q8est1,q8conf1,q8est2,q8conf2,q9est1,q9conf1,q9est2,q9conf2,q10est1,q10conf1,q10est2,q10conf2,q11est1,q11conf1,q11est2,q11conf2,q12est1,q12conf1,q12est2,q12conf2,q13est1,q13conf1,q13est2,q13conf2,q14est1,q14conf1,q14est2,q14conf2,q15est1,q15conf1,q15est2,q15conf2,q16est1,q16conf1,q16est2,q16conf2
34559,1,4000,2,8000,2,8.4,4,35,3,6000,2,5300,2,160000,2,17000000,2,15000,2,30000,2,10000,2,9000,2,30,2,50,2,300,2,340,2,50,2,50,4,,,9,2,2,2,2,2,15,2,20,2,60,2,45,2,10,2,10,2,70,2,57,2,70,3,50,2
34682,1,50000,5,30000000,3,35,5,40,5,12000,5,3200,7,20000000,4,16000000,5,4500,5,20000,7,-100,1,23000,5,62,7,67,7,340,7,333,5,18,5,18,8,,,10,2,1.2,5,2.2,7,17.5,5,18,8,30,4,40,6,12,8,13,8,38,8,55,7,25,7,48.2,6
34700,1,250000000,4,250000000,2,54.36,5,61,7,80,4,800,3,2400000,3,18000000,4,500,3,8000,2,23000,3,19000,3,60,3,60,1,300,3,301,3,73,5,39,3,,,16,5,5,2,2.16,1,34,5,18,4,35,5,42,4,14,3,14,5,51,1,51,2,52,3,37,5
33524,1,10000000,2,5000000,3,10,5,28,4,1200,4,1000,5,10000000,7,13,5,6400,4,22000,6,400,5,5000,3,60,3,70,5,300,5,300,7,25,3,35,5,,,9,6,7,3,2,8,30,6,17.5,6,25,3,35,6,70,4,15,4,33,4,55,6,35,1,36,6
29541,1,100000,2,250000000,2,30,5,,,150,3,3400,2,100000000,4,16000000,4,1000,2,7500,2,35000,3,35000,2,72,5,60,3,180,3,300,2,30,2,35,2,,,9,4,5,6,2.18,2,15,5,15,5,10,5,25,5,25,2,15,3,45,3,51,2,70,0,55,1
31607,1,52600,0,400000,2,35,3,30,2,6000,1,3000,2,76000,1,20000000,3,7500,1,7500,2,35000,3,30000,5,180,3,60,0,500,0,340,5,50,3,40,3,,,8,1,2.18,3,2.18,6,13,1,17.5,3,32,2,35,1,20,1,20,3,70,0,55,5,67,2,50,5
34691,1,300000,1,1000000,1,38,1,70,3,20000,1,3280,2,3000000,3,10000000,3,6000000,2,20000,2,30000,2,25000,1,40,1,48,2,170,2,265,2,20,1,15,6,,,8,3,3,1,2,2,15,1,16,2,15,2,35,3,20,2,20,3,50,2,55,2,65,2,43,2
27503,1,15000000,3,3500000,1,300,3,30,5,1300,2,3000,2,10000000,2,10000000,2,18000,4,20000,4,3000,2,3000,2,72,2,84,2,350,2,350,2,25,1,25,0,,,12,4,2,1,2,0,50,1,50,1,50,3,45,2,30,2,40,2,50,2,50,1,50,1,40,0
29077,1,30000,1,15000000,4,30,3,40,3,600,2,3000,2,50000000,1,10,4,30000,4,21000,6,100,2,13000,4,60,2,70,2,100,3,350,3,15,6,15,6,,,8,4,2.2,3,2,4,15,2,15,3,20,4,35,5,20,1,15,3,56,4,50,5,70,2,40,3
26671,1,2800000,1,3500000,1,25,5,30,5,5000,3,5000,1,6000000,5,7000000,5,7500,1,7500,1,40,1,25000,1,30,1,40,1,200,1,300,2,40,5,40,5,,,8,5,10,1,2.18,1,30,1,30,5,65,7,50,5,10,1,15,5,75,1,55,1,30,1,30,5
27422,2,100000,2,100000,3,23,3,23,3,100000,2,100000,2,1500000,2,6000000,3,18000,3,21000,3,70000,3,27,3,48,2,48,3,100,3,350,3,15,3,35,3,20,3,18,3,5,1,2,2,10,3,25,3,10,2,35,3,20,3,25,3,35,2,50,3,30,3,40,3
33276,2,80000,2,350000,4,8,4,28,5,5000,4,2250,3,7000000,5,6200000,4,100000,7,350000,5,32000,3,28500,3,30,5,45,4,280,4,350,4,50,4,42,3,20,4,19,3,0.89,3,0.65,3,90000000,4,25,3,15,5,30,3,30,5,26,4,40,5,50,5,30,5,40,5
30369,2,5000,2,400500,2,15,1,22,1,3.5,3,800,2,5000000,1,6500000,2,100000,2,300000,1,50000,2,22000,4,25,1,48,1,115,1,450,1,35,2,47,2,10,1,15,0,6,3,0.73,1,30,5,23,4,80,3,45,5,78,1,22,1,50,1,50,0,25,1,44,1
31980,2,2800,3,350000,3,18,4,30,5,1250,2,5000,3,500000,4,6000000,3,590000,3,35000,2,15000,2,27,4,40,2,45,3,500,2,350,3,31,3,40,4,23,4,14,3,12,2,0.9,1,28,2,27,4,64,2,38,5,35,3,25,4,35,4,50,0,60,2,68,3
32249,2,100000,2,400000,3,90,3,30,3,1700,3,1700,3,1000000,3,6000000,3,50000,2,500000,2,15000,3,18000,3,40,3,45,3,300,3,400,3,30,3,42,2,20,3,15,3,3,2,0.7,2,15,3,20,3,40,3,40,5,30,3,25,3,50,5,50,3,65,3,60,3
34745,2,550000,5,550000,6,7,6,18,5,1000,3,1200,4,2000000,4,4500000,6,30000,5,35000,7,22000,4,23000,4,50,6,45,8,450,7,350,6,40,5,38,3,15,3,18,7,0.8,1,0.65,5,20,3,25,3,60000,4,40,3,12,6,20,6,45,5,48,7,35,7,45,7
29374,2,400000,2,5000000,4,15,5,15,3,1100,4,2000,3,8000000,4,6000000,3,10000,3,30000,2,20000,3,24000,3,70,4,45,4,200,4,300,2,30,3,40,3,15,4,14,2,2,2,0.5,3,20,3,25,2,70,4,47,3,25,3,30,3,50,2,51,4,25,4,40,3
28503,2,390000,2,390000,3,15.92,4,27.48,2,3280000,3,32800,3,30000,0,5100000,2,62000,2,620000,2,25000,2,24997,3,40,3,48,2,620,2,369,1,41,3,43,4,9,3,14,2,10,1,0.90001,2,13,2,15,3,36,3,36,4,42,1,24,2,51,2,51,1,42,2,42,2
34167,2,50000,2,150000,1,30,0,27,1,2000,0,7000,2,3000000,0,6500000,1,30000,0,50000,0,80000,1,27000,1,40,1,45,1,200,3,450,0,15,1,40,0,5,1,14,0,15,0,0.6,0,15,0,25,0,50,1,45,1,8,0,20,0,50,3,50,2,50,0,50,0
29679,2,16000000,5,16000000,5,5,5,30,5,800,5,1000,3,10000000,9,6000000,9,40000,1,30000,4,50000,5,30000,1,40,5,40,3,120,4,200,5,25,5,25,7,15,5,14,1,0.05,1,0.3,4,20,8,25,1,50,5,40,3,30,5,30,9,50,5,50,5,80,5,60,7
27194,3,100000,2,3600000,3,30,1,30,4,5428,4,3500,2,10000000,2,6000000,0,25000,2,26000,0,65000,3,30000,3,66,1,66,3,240,1,250,0,70,3,39,0,7,3,7,2,1.7,4,1.7,2,12,3,20,1,20,2,65,2,20,2,15,1,,,55,2,30,3,20,4
34540,3,8000000,8,7200000,8,23,8,24,8,3600,8,3200,9,18000000,7,6500000,6,26000,8,26000,9,19000,5,28000,2,53,8,53,8,360,8,280,8,60,5,35,8,8,8,8,8,0.01,9,0.2,8,33,8,20,8,62,6,62,8,5,8,12,8,,,50,8,32,4,32,6
34399,3,250000,3,450000,4,15,4,25,3,550,5,3500,4,1000000,3,6000000,0,30000,3,26000,0,35000,4,28000,3,36,3,65,3,300,3,300,3,15,3,39,1,8,3,7,1,9,3,1,3,25,4,20,2,25,5,45,6,25,3,15,2,,,55,2,35,4,30,3
30575,3,1000000,9,4000000,6,30,4,30,5,5000,4,3700,4,8000000,5,6000000,3,100000000,5,26000,2,30000,5,28000,5,54,4,54,6,200,6,240,5,40,4,39,2,8,4,7,3,1,5,0.5,5,20,4,20,5,30,3,50,5,10,4,12,3,,,50,6,30,5,35,6
32149,3,120000,1,670000,2,26,3,46,5,4300,5,4200,4,6000000,4,6000000,4,6500,1,26000,1,32000,6,32000,6,65,6,65,4,250,2,250,4,39,2,38,3,20,3,11,4,19,4,0.9,2,20,3,20,3,45,8,45,6,24,3,18,3,,,55,4,35,5,35,5
34706,3,75000,2,5000000,6,30,3,30,5,10000,5,4500,4,5000000,2,6000000,3,25000,7,26000,0,29000,4,29000,6,54,4,,,250,3,225,6,8,6,39,1,5,4,7,5,5,1,0.3,3,15,1,28,5,19,4,55,5,35,3,15,4,,,55,4,35,5,35,3
29136,3,8000,0,500000,3,20,2,27,5,3000,6,3400,5,4000000,3,6000000,5,60000,0,26000,3,19000,3,25000,6,65,4,70,5,200,2,240,6,40,2,39,3,5,2,7,5,2.1,3,1.9,3,40,2,24,5,10,3,60,6,35,7,20,3,,,55,5,55,5,35,4
31003,3,3000,3,600120,3,20,3,27,6,550,6,4000,4,2000000,3,6000000,9,7000,3,26000,0,20000,4,40000,3,60,5,66,6,500,3,240,3,40,4,39,0,2,5,7,7,1.2,2,1.2,3,30,3,20,4,60,3,65,1,40,3,15,5,,,55,5,75,3,35,1
27502,4,920000,1,45000,0,65,4,65,2,1200,3,1800,3,2000000,3,10000000,0,983000,3,926320451,5,26000,5,30000,2,48,3,48,3,275,3,250,0,32,4,22,0,7,4,8,0,0.25,1,7,1,30,1,33,0,65,6,40,0,35,5,20,0,45,4,45,0,40,5,40,2
34441,4,6000000,2,60000,3,75,0,75,5,6000,5,3000,4,15000000,5,15000000,3,3,2,300000,0,80000,5,22000,3,70,4,70,4,120,3,400,2,50,5,25,5,10,5,20,0,3,4,5,5,8,3,5,0,50,4,40,0,25,5,20,3,60,4,50,5,30,4,50,3
26783,4,2500,3,6000000,3,15,3,70,3,8000,3,3000,3,10000000,2,10000000,3,1500,2,9000000,0,50000,2,30000,3,40,3,40,3,200,3,225,3,40,3,22,3,18,3,10,2,4,3,5,4,30,3,33,3,40,3,40,4,10,3,15,3,52,4,49,4,40,3,40,3
31122,4,100000000,2,45000,2,20,3,60,1,130,5,1300,7,10000000,4,10000000,4,20000,3,39000,2,25000,5,25000,8,72,4,72,5,400,2,250,2,40,4,30,4,10,4,10,7,0.3,4,0.3,7,47,6,33,1,8,3,8,9,20,5,20,4,50,7,50,6,65,4,60,4
30782,4,30000,2,45000,5,9,2,60,4,600,3,1500,2,800000,2,10,5,20000,2,70000,4,40000,0,30000,5,80,4,65,4,180,2,225,5,20,1,20,7,5,4,8,5,8,2,7,6,35,5,33,8,30,2,40,8,35,2,20,6,35,2,45,8,30,4,50,7
32418,4,500000,2,65000,2,10,4,65,3,2500,3,2300,3,8000000,3,9000000,2,50000,3,40000,3,40000,3,30000,2,30,3,40,3,200,3,230,3,35,4,30,3,1500,3,10,2,7,3,7,4,40,4,30,4,40,3,40,3,40,3,20,2,0.5,4,45,2,60,3,50,2
