labID,experiment_number,q1est1,q1conf1,q1est2,q1conf2,q2est1,q2conf1,q2est2,q2conf2,q3est1,q3conf1,q3est2,q3conf2,q4est1,q4conf1,q4est2,q4conf2,q5est1,q5conf1,q5est2,q5conf2,q6est1,q6conf1,q6est2,q6conf2,q7est1,q7conf1,q7est2,q7conf2,q8est1,q8conf1,q8est2,q8conf2,q9est1,q9conf1,q9est2,q9conf2,q10est1,q10conf1,q10est2,q10conf2,q11est1,q11conf1,q11est2,q11conf2,q12est1,q12conf1,q12est2,q12conf2,q13est1,q13conf1,q13est2,q13conf2,q14est1,q14conf1,q14est2,q14conf2,q15est1,q15conf1,q15est2,q15conf2,q16est1,q16conf1,q16est2,q16conf2
34753,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34749,6,8500,6,20,2,19,4,19,2,5000,6,5000,2,2500000,5,4000000,3,13000,2,13500,6,60000,6,60000,3,68,2,68,5,258,6,300,4,35,3,32,6,12.5,8,12,3,8,2,3,5,8.5,7,10,3,,,100,0,25,4,26,3,50,7,50,3,,,23,8
29474,6,16000,5,10000000,9,7,4,11,8,900,0,5500,6,3000000,2,6500000,9,9000,0,14000,6,50000,5,41000,2,45,8,,,250,7,300,5,40,4,30,5,1000,9,10,8,2,0,1.3,0,25,0,28,0,,,34,0,40,0,18,0,50,5,48,9,,,54,7
33884,6,2500000,3,1,1,15,2,20,2,5400,6,5400,5,8500000,6,8500000,6,12300,4,13000,5,15000,5,18000,6,70,4,62,3,350,5,350,3,28,8,27,5,12,6,10,4,1.4,6,1.4,1,20,7,23,4,,,35,4,28,4,35,5,40,5,48,5,,,54,2
32876,6,400000,2,50,3,20,3,25,4,800,3,5500,3,90000000,5,5600000,5,37200,3,18000,3,70000,2,70000,3,60,3,58,3,250,5,260,6,20,4,26,5,20,2,12,5,3,3,1.7,3,15,3,24,4,,,35,4,40,3,15,4,42,5,,,,,54,3
31860,6,20000,1,777,7,10.6,0,14.4,2,610,1,5300,1,2000000,2,6500050,2,100000,0,24500,0,25000,2,76000,2,50,0,60,1,110,3,306,2,20,3,24,3,12,1,12.5,3,9,0,1.5,1,23,2,21,1,,,32,1,41,2,30,2,49,5,46,3,,,54,1
32365,6,20000,3,3.14,3,53,4,45,3,7000,3,6000,4,10000000,2,7000000,2,24000,7,26000,8,17000,2,50000,3,40,4,65,2,200,2,325,2,7,2,31,2,15,2,13,3,0.5,1,1,5,12,3,20,3,,,33,3,33,3,28,4,50,6,50,6,,,58,2
32334,6,5000,1,0,0,25,0,25,3,3500,0,5500,3,9000000,3,8000000,3,100000,0,35000,2,60000,0,70000,1,65,1,60,1,200,1,350,2,18,1,22,2,15,2,13,2,1.1,0,1.3,2,12,0,19,1,,,28,1,35,4,35,6,50,5,50,1,,,54,1
34548,6,65000,3,5465,1,10.45,7,30,5,1600,1,5999,3,3000000,1,5700000,3,89236475,0,19000,5,64000,1,67000,5,50,2,59,4,250,5,365,5,65,4,33,5,9.8,3,9.7,8,2.4,1,1.4,3,7,7,25,3,,,35,5,29,6,29,5,52,8,50,6,,,56,4
33970,6,9000000,5,90000000,6,200,5,30,6,30000,5,9000,7,60000000,6,6600000,6,12000000000,4,12000000,7,105000,8,105000,9,84,3,60,5,400,6,360,7,40,8,42,8,12,7,13,8,1,4,1.1,5,20,5,20,6,,,35,7,6,7,9,7,25,6,30,7,,,56,5
