labID,q1est,q1conf,q2est,q2conf,q3est,q3conf,q4est,q4conf,q5est,q5conf,q6est,q6conf,q7est,q7conf,q8est,q8conf,q9est,q9conf,q10est,q10conf,q11est,q11conf,q12est,q12conf,q13est,q13conf,q14est,q14conf,q15est,q15conf,q16est,q16conf
34726,30000,1,60,1,1776,2,9000000,1,8790,1,2000,1,82,1,9890,1,0,0,9,1,5,1,40,2,40,1,70,2,50,3,60,2
34585,30000,2,300,2,500,3,3000000,3,35000,2,35000,2,180,3,200,2,45,2,15,3,0,0,70,3,79,3,39,2,80,3,65,2
30566,0,0,27,2,700,2,6500000,2,300000,3,30000,2,68,2,270,2,25,2,8,2,3,3,9,2,20,2,35,2,50,2,60,2
34361,50000,1,45,1,1600,2,4000000,2,25000,1,0,0,60,2,170,2,26,1,15,1,36,1,17,1,15,2,20,1,50,5,39,1
34289,3800000,4,0,0,2730,3,800000,1,60000,1,50000,3,48,1,462,1,40,2,8,2,13,1,30,1,15,1,40,1,50,2,40,1
29228,6500000,1,9,1,1750,1,3000000,1,25000,1,35000,3,60,2,225,2,33,3,17,2,3,3,45,2,25,1,25,2,50,3,0,0
30000,4000,1,500,1,1100,2,2000000,1,10000,1,47000,2,40,2,150,3,0.2,2,0.07,2,0.04,2,0.15,2,0.3,2,0,0,0.25,2,0.2,1
26013,3000000,1,14,1,0,0,8000000,1,12000,2,28000,3,52,1,175,1,30,1,7,1,2,1,18,2,35,2,38,2,42,2,40,1
30678,1.00E+11,1,6,2,300,1,3000000,1,30000000,1,500000000,1,36,1,50,1,40,1,6,1,3,1,0,0,33,1,20,1,45,1,55,2
27513,200000,1,18,1,4800,1,4000000,1,7000,1,60000,1,54,2,250,2,15,1,3,1,0.5,1,4,1,8,1,20,1,45,2,0,0
31554,9000000,2,42,2,2000,1,4200000,1,8000000,1,300000,2,56,2,300,3,0,0,8,2,3.2,2,15,2,3100000,2,22,1,45,3,58,3
28718,24000,1,15,1,800000,1,8000000,1,0,0,7.5,1,72,2,200,1,20,1,6,2,0.5,1,22,1,36,2,20,1,50,2,70,2
32645,6000,2,300,2,500,1,5000000,2,5000000,1,25000,2,70,2,1000,1,40,2,0.09,2,0,0,0.3,2,0.85,2,0.45,2,0.57,3,0.75,2
30521,5000,1,12,3,500,2,7500000,2,12000,3,50,1,48,3,150,2,25,2,12,1,3,3,15,1,0,0,33,1,50,3,35,2
34687,25000,1,7,1,400,1,500000,1,2500000,1,45000,2,45,2,115,1,0,0,15,1,6,2,25,2,100,2,30,1,15,1,50,2
34783,30000,1,22,2,1300,2,2000000,2,13000,1,34000,2,50,3,220,2,38,2,0,0,1.6,1,20,2,45,2,34,2,46,2,35,2
