subject.no,group,condition,question.no,estimate.no,estimate
34559,1,G,1,tr.est1,0.998924353
34682,1,G,1,tr.est1,0.986554409
34700,1,G,1,tr.est1,66.22795736
33524,1,G,1,tr.est1,1.689118295
29541,1,G,1,tr.est1,0.973108817
31607,1,G,1,tr.est1,0.985855238
34691,1,G,1,tr.est1,0.919326451
27503,1,G,1,tr.est1,3.033677442
29077,1,G,1,tr.est1,0.991932645
26671,1,G,1,tr.est1,0.247046878
27422,2,G,1,tr.est1,0.973108817
33276,2,G,1,tr.est1,0.978487054
30369,2,G,1,tr.est1,0.998655441
31980,2,G,1,tr.est1,0.999247047
32249,2,G,1,tr.est1,0.973108817
34745,2,G,1,tr.est1,0.852098494
29374,2,G,1,tr.est1,0.892435268
28503,2,G,1,tr.est1,0.895124387
34167,2,G,1,tr.est1,0.986554409
29679,2,G,1,tr.est1,3.302589271
27194,3,G,1,tr.est1,0.973108817
34540,3,G,1,tr.est1,1.151294636
34399,3,G,1,tr.est1,0.932772043
30575,3,G,1,tr.est1,0.731088171
32149,3,G,1,tr.est1,0.96773058
34706,3,G,1,tr.est1,0.979831613
29136,3,G,1,tr.est1,0.997848705
31003,3,G,1,tr.est1,0.999193265
27502,4,G,1,tr.est1,0.752601117
34441,4,G,1,tr.est1,0.613470977
26783,4,G,1,tr.est1,0.99932772
31122,4,G,1,tr.est1,25.89118295
30782,4,G,1,tr.est1,0.991932645
32418,4,G,1,tr.est1,0.865544085
30257,4,G,1,tr.est1,0.998655441
34746,4,G,1,tr.est1,0.865544085
34718,5,G,1,tr.est1,0.996773058
31382,5,G,1,tr.est1,0.784870536
33780,5,G,1,tr.est1,0.999193265
29727,5,G,1,tr.est1,133.4559147
34015,5,G,1,tr.est1,0.946217634
34499,5,G,1,tr.est1,0.731088171
31365,5,G,1,tr.est1,0.986554409
34566,5,G,1,tr.est1,0.999731088
33922,5,G,1,tr.est1,0.919326451
34704,5,G,1,tr.est1,0.994621763
31569,13,G,1,tr.est1,1.689118295
29099,13,G,1,tr.est1,1.420206465
27471,13,G,1,tr.est1,0.973108817
32676,13,G,1,tr.est1,0.999462176
34111,13,G,1,tr.est1,0.999892435
32996,13,G,1,tr.est1,0.865544085
34805,13,G,1,tr.est1,1343.559147
34660,13,G,1,tr.est1,0.999596632
33180,13,G,1,tr.est1,1.420206465
30828,14,G,1,tr.est1,1.420206465
28908,14,G,1,tr.est1,0.986554409
25599,14,G,1,tr.est1,79.67354884
34491,14,G,1,tr.est1,0.981176172
34645,14,G,1,tr.est1,0.731088171
29068,14,G,1,tr.est1,0.94567981
31526,14,G,1,tr.est1,0.999596632
34582,14,G,1,tr.est1,0.998252073
32810,17,G,1,tr.est1,0.998386529
29908,17,G,1,tr.est1,0.996680283
27116,17,G,1,tr.est1,66.22795736
27181,17,G,1,tr.est1,0.994621763
33503,17,G,1,tr.est1,1.420206465
34654,17,G,1,tr.est1,0.981176172
31917,17,G,1,tr.est1,0.327720426
34666,17,G,1,tr.est1,0.999999731
31116,17,G,1,tr.est1,0.999946218
34800,17,G,1,tr.est1,0.981176172
30521,17,G,1,tr.est1,NA
711121,18,G,1,tr.est1,0.993546116
34773,18,G,1,tr.est1,25.89118295
30270,18,G,1,tr.est1,0.987898968
34362,18,G,1,tr.est1,0.997848705
29717,18,G,1,tr.est1,0.946217634
34633,18,G,1,tr.est1,1.689118295
29189,18,G,1,tr.est1,0.462176341
711122,18,G,1,tr.est1,2.630309698
31741,18,G,1,tr.est1,0.731088171
34604,18,G,1,tr.est1,7.067354884
34709,19,G,1,tr.est1,0.997310882
23629,19,G,1,tr.est1,0.998252073
34658,19,G,1,tr.est1,0.997848705
32188,19,G,1,tr.est1,0.193264512
34653,19,G,1,tr.est1,0.997310882
3472,19,G,1,tr.est1,0.731088171
711123,19,G,1,tr.est1,3.033677442
33570,19,G,1,tr.est1,0.989512439
34750,19,G,1,tr.est1,1.689118295
34559,1,G,2,tr.est1,0.787449393
34682,1,G,2,tr.est1,0.11437247
34700,1,G,2,tr.est1,0.375506073
33524,1,G,2,tr.est1,0.746963563
29541,1,G,2,tr.est1,0.240890688
31607,1,G,2,tr.est1,0.11437247
34691,1,G,2,tr.est1,0.038461538
27503,1,G,2,tr.est1,6.591093117
29077,1,G,2,tr.est1,0.240890688
26671,1,G,2,tr.est1,0.367408907
27422,2,G,2,tr.est1,0.418016194
33276,2,G,2,tr.est1,0.79757085
30369,2,G,2,tr.est1,0.620445344
31980,2,G,2,tr.est1,0.544534413
32249,2,G,2,tr.est1,1.277327935
34745,2,G,2,tr.est1,0.822874494
29374,2,G,2,tr.est1,0.620445344
28503,2,G,2,tr.est1,0.597165992
34167,2,G,2,tr.est1,0.240890688
