subject.no,group,condition,question.no,question.type,est1,est2,conf1,conf2,true.values,log.true.values,log.tr.est1,log.tr.est2,tr.est1,tr.est2,log.change.est,abs.log.change.est
34726,40,C,1,unbounded,30000,30000,1,1,3718691,15.12888228,0.318591257,0.318591257,0.991932645,0.991932645,0,0
30566,40,C,1,unbounded,0,0,0,0,3718691,15.12888228,NA,NA,1,1,NA,NA
34361,40,C,1,unbounded,50000,50000,1,1,3718691,15.12888228,0.284826329,0.284826329,0.986554409,0.986554409,0,0
29228,40,C,1,unbounded,6500000,6500000,1,1,3718691,15.12888228,0.036911547,0.036911547,0.747926891,0.747926891,0,0
30000,40,C,1,unbounded,4000,4000,1,1,3718691,15.12888228,0.4517738,0.4517738,0.998924353,0.998924353,0,0
26013,40,C,1,unbounded,3.00E+06,3.00E+06,1,1,3718691,15.12888228,0.014195327,0.014195327,0.193264512,0.193264512,0,0
30678,40,C,1,unbounded,1.00E+11,1.00E+11,1,1,3718691,15.12888228,0.674177613,0.674177613,26890.18295,26890.18295,0,0
31554,40,C,1,unbounded,9.00E+06,9.00E+06,2,2,3718691,15.12888228,0.058421557,0.058421557,1.420206465,1.420206465,0,0
28718,40,C,1,unbounded,24000,24000,1,1,3718691,15.12888228,0.333340764,0.333340764,0.993546116,0.993546116,0,0
32645,40,C,1,unbounded,6000,6000,2,2,3718691,15.12888228,0.424973069,0.424973069,0.998386529,0.998386529,0,0
30521,41,C,1,unbounded,5000,5000,1,1,3718691,15.12888228,0.437024294,0.437024294,0.998655441,0.998655441,0,0
23189,41,C,1,unbounded,4500000,4500000,1,1,3718691,15.12888228,0.012605404,0.012605404,0.210103233,0.210103233,0,0
33084,41,C,1,unbounded,700,700,1,1,3718691,15.12888228,0.566981869,0.566981869,0.999811762,0.999811762,0,0
34606,41,C,1,unbounded,4000,4000,2,2,3718691,15.12888228,0.4517738,0.4517738,0.998924353,0.998924353,0,0
34103,41,C,1,unbounded,25000,25000,1,1,3718691,15.12888228,0.330642481,0.330642481,0.993277204,0.993277204,0,0
32741,41,C,1,unbounded,6000,6000,1,1,3718691,15.12888228,0.424973069,0.424973069,0.998386529,0.998386529,0,0
24997,41,C,1,unbounded,32000,32000,3,3,3718691,15.12888228,0.314325342,0.314325342,0.991394821,0.991394821,0,0
34798,41,C,1,unbounded,12000,12000,1,1,3718691,15.12888228,0.379156916,0.379156916,0.996773058,0.996773058,0,0
386,41,C,1,unbounded,5.00E+06,5.00E+06,1,1,3718691,15.12888228,0.019569601,0.019569601,0.344559147,0.344559147,0,0
741,41,C,1,unbounded,1.00E+11,1.00E+11,2,2,3718691,15.12888228,0.674177613,0.674177613,26890.18295,26890.18295,0,0
10743,42,C,1,unbounded,0.65,0.65,1,1,3718691,15.12888228,1.028474206,1.028474206,0.999999825,0.999999825,0,0
15312,42,C,1,unbounded,2.00E+08,2.00E+08,1,1,3718691,15.12888228,0.263399871,0.263399871,52.78236589,52.78236589,0,0
18247,42,C,1,unbounded,1.00E+06,1.00E+06,1,1,3718691,15.12888228,0.086812211,0.086812211,0.731088171,0.731088171,0,0
20330,42,C,1,unbounded,5.00E+05,5.00E+05,2,2,3718691,15.12888228,0.132628364,0.132628364,0.865544085,0.865544085,0,0
21726,42,C,1,unbounded,5000,5000,2,2,3718691,15.12888228,0.437024294,0.437024294,0.998655441,0.998655441,0,0
22101,42,C,1,unbounded,3500000,3500000,3,3,3718691,15.12888228,0.004006162,0.004006162,0.058808597,0.058808597,0,0
22659,42,C,1,unbounded,1500000,1500000,2,2,3718691,15.12888228,0.06001148,0.06001148,0.596632256,0.596632256,0,0
23065,42,C,1,unbounded,1.00E+06,1.00E+06,1,1,3718691,15.12888228,0.086812211,0.086812211,0.731088171,0.731088171,0,0
24486,42,C,1,unbounded,7.00E+05,7.00E+05,2,2,3718691,15.12888228,0.110387974,0.110387974,0.811761719,0.811761719,0,0
26396,42,C,1,unbounded,15000,15000,1,1,3718691,15.12888228,0.36440741,0.36440741,0.995966323,0.995966323,0,0
26841,43,C,1,unbounded,6.00E+06,6.00E+06,2,2,3718691,15.12888228,0.031620825,0.031620825,0.613470977,0.613470977,0,0
26945,43,C,1,unbounded,3.00E+06,3.00E+06,3,3,3718691,15.12888228,0.014195327,0.014195327,0.193264512,0.193264512,0,0
27002,43,C,1,unbounded,6.00E+05,6.00E+05,1,1,3718691,15.12888228,0.120577139,0.120577139,0.838652902,0.838652902,0,0
27087,43,C,1,unbounded,2050000,2050000,1,1,3718691,15.12888228,0.039363908,0.039363908,0.44873075,0.44873075,0,0
27184,43,C,1,unbounded,1.00E+05,1.00E+05,1,1,3718691,15.12888228,0.239010176,0.239010176,0.973108817,0.973108817,0,0
27483,43,C,1,unbounded,3.00E+05,3.00E+05,2,2,3718691,15.12888228,0.166393292,0.166393292,0.919326451,0.919326451,0,0
27635,43,C,1,unbounded,125000,125000,1,1,3718691,15.12888228,0.224260669,0.224260669,0.966386021,0.966386021,0,0
27722,43,C,1,unbounded,0.9,0.9,3,3,3718691,15.12888228,1.006964197,1.006964197,0.999999758,0.999999758,0,0
27829,43,C,1,unbounded,43789,43789,2,2,3718691,15.12888228,0.293593689,0.293593689,0.98822462,0.98822462,0,0
28218,43,C,1,unbounded,3800000,3800000,3,3,3718691,15.12888228,0.001429672,0.001429672,0.021864952,0.021864952,0,0
28489,44,C,1,unbounded,4500000,4500000,4,4,3718691,15.12888228,0.012605404,0.012605404,0.210103233,0.210103233,0,0
29088,44,C,1,unbounded,500,500,1,1,3718691,15.12888228,0.589222258,0.589222258,0.999865544,0.999865544,0,0
29147,44,C,1,unbounded,1.00E+06,1.00E+06,1,1,3718691,15.12888228,0.086812211,0.086812211,0.731088171,0.731088171,0,0
29333,44,C,1,unbounded,2.20E+07,2.20E+07,1,1,3718691,15.12888228,0.117501789,0.117501789,4.916060248,4.916060248,0,0
29481,44,C,1,unbounded,150,150,1,1,3718691,15.12888228,0.668803339,0.668803339,0.999959663,0.999959663,0,0
29534,44,C,1,unbounded,6000,6000,2,2,3718691,15.12888228,0.424973069,0.424973069,0.998386529,0.998386529,0,0
29574,44,C,1,unbounded,1.00E+08,1.00E+08,1,1,3718691,15.12888228,0.217583718,0.217583718,25.89118295,25.89118295,0,0
29712,44,C,1,unbounded,350000,350000,2,2,3718691,15.12888228,0.156204127,0.156204127,0.90588086,0.90588086,0,0
30024,44,C,1,unbounded,3.00E+05,3.00E+05,1,1,3718691,15.12888228,0.166393292,0.166393292,0.919326451,0.919326451,0,0
30123,44,C,1,unbounded,10340000,10340000,1,1,3718691,15.12888228,0.06759575,0.06759575,1.780548317,1.780548317,0,0
30159,45,C,1,unbounded,5.00E+05,5.00E+05,1,1,3718691,15.12888228,0.132628364,0.132628364,0.865544085,0.865544085,0,0
30176,45,C,1,unbounded,6.00E+06,6.00E+06,1,1,3718691,15.12888228,0.031620825,0.031620825,0.613470977,0.613470977,0,0
30308,45,C,1,unbounded,3000,3000,1,1,3718691,15.12888228,0.470789222,0.470789222,0.999193265,0.999193265,0,0
30524,45,C,1,unbounded,4.00E+06,4.00E+06,2,2,3718691,15.12888228,0.004820094,0.004820094,0.075647318,0.075647318,0,0
30580,45,C,1,unbounded,1000,1000,2,2,3718691,15.12888228,0.543406106,0.543406106,0.999731088,0.999731088,0,0
30666,45,C,1,unbounded,500,500,2,2,3718691,15.12888228,0.589222258,0.589222258,0.999865544,0.999865544,0,0
30737,45,C,1,unbounded,1,1,1,1,3718691,15.12888228,1,1,0.999999731,0.999999731,0,0
30900,45,C,1,unbounded,5.00E+06,5.00E+06,1,1,3718691,15.12888228,0.019569601,0.019569601,0.344559147,0.344559147,0,0
31181,45,C,1,unbounded,2100,2100,2,2,3718691,15.12888228,0.494364985,0.494364985,0.999435285,0.999435285,0,0
31233,45,C,1,unbounded,7.50E+07,7.50E+07,2,2,3718691,15.12888228,0.198568297,0.198568297,19.16838721,19.16838721,0,0
31277,46,C,1,unbounded,6.00E+05,6.00E+05,3,3,3718691,15.12888228,0.120577139,0.120577139,0.838652902,0.838652902,0,0
31383,46,C,1,unbounded,3800000,3800000,3,3,3718691,15.12888228,0.001429672,0.001429672,0.021864952,0.021864952,0,0
31440,46,C,1,unbounded,7000,7000,1,1,3718691,15.12888228,0.414783904,0.414783904,0.998117617,0.998117617,0,0
31472,46,C,1,unbounded,6600000,6600000,3,3,3718691,15.12888228,0.037920708,0.037920708,0.774818074,0.774818074,0,0
31527,46,C,1,unbounded,30000,30000,2,2,3718691,15.12888228,0.318591257,0.318591257,0.991932645,0.991932645,0,0
31629,46,C,1,unbounded,9.00E+06,9.00E+06,3,3,3718691,15.12888228,0.058421557,0.058421557,1.420206465,1.420206465,0,0
31690,46,C,1,unbounded,450,450,1,1,3718691,15.12888228,0.596186455,0.596186455,0.99987899,0.99987899,0,0
31733,46,C,1,unbounded,3.00E+06,3.00E+06,1,1,3718691,15.12888228,0.014195327,0.014195327,0.193264512,0.193264512,0,0
